"","StudentId","Date","TipoBach","GradeBach","GradeAccess","GradeSocMath","GradeMath"
"153",118,1106,"GRCT",6.06,5.636,NA,NA
"154",119,1106,"GRCT",7.41,7.571,NA,NA
"155",120,1106,"GRHC",5.94,5.714,2,NA
"156",121,1106,"GRHC",6,5.525,7.5,NA
"157",122,1106,"GRHC",7.47,7.332,NA,NA
"158",123,1106,"GRAP",5.65,5.29,NA,NA
"159",124,1106,"GRHC",6.53,5.768,7.25,NA
"160",125,1106,"A01",6.91,NA,NA,NA
"161",126,1106,"GRCT",7.71,6.726,NA,2.5
"162",127,1106,"U04",NA,NA,NA,NA
"163",128,1106,"GRCT",6.3,NA,NA,NA
"164",129,1106,"GRHC",7.82,7.342,NA,NA
"165",130,1106,"GRHC",7.59,7.704,9,NA
"166",131,1106,"GRHC",6.12,5.297,6.5,NA
"167",132,1106,"GRCT",6.44,5.939,NA,6
"168",133,1106,"GRHC",5.9,5.415,NA,NA
"169",134,1106,"GRHC",5.94,5.789,3.25,NA
"170",135,1106,"GRCT",6.82,6.592,NA,7.75
"171",136,1106,"GRHC",8.59,7.979,NA,NA
"172",137,1106,"GRHC",5.82,6.142,NA,NA
"173",138,1106,"GRHC",6.71,5.926,NA,NA
"174",139,1106,"F02",6.38,NA,NA,5.5
"175",140,1106,"GRHC",6.29,5.624,5.25,NA
"176",141,1106,"GRHC",6.94,6.939,3,NA
"177",142,1106,"A01",NA,NA,NA,NA
"178",143,1106,"GRHC",5.88,5.703,3.25,NA
"179",144,1106,"GRCT",6.24,5.944,NA,4.75
"180",145,1106,"GRCT",7.35,7.06,NA,8.5
"181",146,1106,"GRCT",6.88,6.728,NA,6.5
"182",147,1106,"GRCT",6.41,5.946,NA,1.25
"183",148,1106,"GRHC",7.65,7.715,5.25,NA
"184",149,1106,"GRHC",7.47,7.332,4,NA
"185",150,1106,"GRHC",7.94,7.189,5.5,NA
"186",151,1106,"GRHC",6.53,5.668,NA,NA
"187",152,1106,"U01",NA,NA,5.25,NA
"188",153,1106,"GRCT",7.41,6.696,NA,2.25
"189",154,1106,"GRHC",6.17,5.977,2,NA
"190",155,1106,"GRCT",5.8,5.48,NA,NA
"191",156,1106,"GRCT",5.71,5.376,NA,6.25
