"","StudentId","Date","Grade"
"250",136,1301,4.3
"251",136,1306,5
"252",137,1301,3.8
"253",137,1306,3.8
"254",137,1401,5
"255",138,1301,4
"256",138,1306,5.5
"257",139,1301,5.3
"258",140,1301,3.8
"259",140,1306,3.7
"260",140,1401,4.3
"261",140,1406,5.2
"262",141,1301,5.4
"263",142,1501,0
"264",142,1406,2.7
"265",142,1401,0
"266",142,1301,3.1
"267",142,1306,0
"268",143,1301,5.9
"269",144,1301,6.5
"270",145,1401,8
"271",146,1301,6.7
"272",147,1301,7.7
"273",148,1301,7
"274",149,1301,5
"275",150,1301,5.3
"276",151,1301,3.1
"277",151,1306,0
"278",151,1401,3.4
"279",151,1406,3.8
"280",151,1501,5
"281",152,1301,5.5
"282",153,1301,7
"283",154,1301,3.9
"284",154,1306,5
"285",155,1301,5.4
"286",156,1301,6
"287",157,1301,5
"288",158,1301,5.6
"289",159,1301,5.9
"290",160,1301,5.6
"291",161,1301,7
"292",162,1401,3.3
"293",162,1406,5.8
"294",162,1306,3.6
"295",162,1301,2.7
"296",163,1301,5
"297",164,1301,5.7
"298",165,1301,3.6
"299",165,1306,5
"300",166,1301,5
"301",167,1501,9
"302",168,1301,5.3
"303",169,1301,6.4
"304",170,1301,5.5
"305",171,1301,6
"306",172,1301,4.4
"307",172,1306,5
"308",173,1301,5.1
"309",174,1301,5
"310",175,1301,4
"311",175,1306,5
"312",176,1301,0
"313",176,1306,5
"314",177,1401,7.2
"315",178,1401,5.1
"316",179,1301,7
"317",180,1301,7
"318",181,1301,7.7
"319",182,1406,2.6
"320",182,1501,5.7
"321",182,1306,3.1
"322",182,1301,3.4
"323",182,1401,2.1
"324",183,1301,7.9
"325",184,1301,3.3
"326",184,1306,5
"327",185,1301,7
"328",186,1301,2.5
"329",186,1306,3.2
"330",186,1401,1.9
"331",186,1406,7
"332",187,1401,5
"333",188,1501,3.8
"334",189,1501,5.5
"335",190,1401,5
"336",191,1406,3.5
"337",191,1501,5
"338",191,1401,3.1
"339",192,1401,5.1
"340",193,1406,3.5
"341",193,1501,0
"342",193,1401,3.6
"343",194,1301,8.2
"344",195,1501,5.1
"345",196,1306,5
"346",196,1301,3.8
"347",197,1301,7.5
"348",198,1301,3.4
"349",198,1306,6
"350",199,1501,3.1
"351",199,1406,3
"352",199,1401,3.2
"353",199,1301,3.3
"354",199,1306,4
"355",200,1501,3.2
"356",200,1401,4
"357",200,1406,2.8
"358",201,1501,5.3
"359",202,1301,5
"360",203,1501,3.1
"361",204,1401,3
"362",204,1406,4
"363",204,1501,0
"364",205,1501,5
"365",206,1501,0.2
"366",207,1401,5.7
"367",208,1501,7.2
"368",209,1401,5.2
"369",210,1401,5
"370",211,1401,3.7
"371",211,1406,2
"372",211,1501,5
"373",212,1401,7
"374",213,1401,5.1
"375",214,1406,5.6
"376",214,1401,3.6
"377",215,1401,10
"378",216,1501,6.7
"379",217,1401,5.3
"380",218,1401,5.1
"381",219,1406,3.7
"382",219,1501,6
"383",219,1401,4.2
"384",220,1401,5
"385",221,1501,4.4
"386",222,1401,7.7
"387",223,1401,5.5
"388",224,1401,0
"389",224,1406,1.5
"390",224,1501,3.5
"391",225,1401,7.8
"392",226,1401,3.3
"393",226,1406,3
"394",226,1501,5.5
"395",227,1401,5.6
"396",228,1401,5.6
"397",229,1401,6.1
"398",230,1501,7.9
"399",231,1401,9
"400",232,1401,3.9
"401",232,1406,2
"402",233,1401,7.5
"403",234,1501,3.7
"404",234,1406,3
"405",234,1401,3.1
"406",235,1401,6.9
"407",236,1401,5
"408",237,1401,7.7
"409",238,1406,6
"410",238,1401,3.6
"411",239,1401,5.2
"412",240,1401,7.2
"413",241,1401,5
"414",242,1401,7.7
"415",243,1401,3.1
"416",243,1406,5.5
"417",244,1401,6.8
"418",245,1406,6
"419",245,1401,4.2
"420",246,1406,2
"421",246,1501,0
"422",246,1401,3.2
